Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark_queries1000_batchsize1.csv,"=SUM(109168326/1000000)",4000,1,"=SUM(26301710/1000000)","=SUM(27514944/1000000)","=SUM(28556710/1000000)","=SUM(26794961/1000000)"
BatchQueryBenchmark_queries1000_batchsize100.csv,"=SUM(15779371/1000000)",4000,100,"=SUM(3031368/1000000)","=SUM(3684529/1000000)","=SUM(4895662/1000000)","=SUM(4167810/1000000)"
BatchQueryBenchmark_queries1000_batchsize20.csv,"=SUM(19704143/1000000)",4000,20,"=SUM(3977743/1000000)","=SUM(4741055/1000000)","=SUM(6568162/1000000)","=SUM(4417181/1000000)"
BatchQueryBenchmark_queries1000_batchsize5.csv,"=SUM(34498471/1000000)",4000,5,"=SUM(8019313/1000000)","=SUM(8203775/1000000)","=SUM(10074065/1000000)","=SUM(8201316/1000000)"
BatchQueryBenchmark_queries100_batchsize1.csv,"=SUM(11875674/1000000)",400,1,"=SUM(2920134/1000000)","=SUM(3072314/1000000)","=SUM(3130272/1000000)","=SUM(2752953/1000000)"
BatchQueryBenchmark_queries100_batchsize100.csv,"=SUM(1454238/1000000)",400,100,"=SUM(296647/1000000)","=SUM(359518/1000000)","=SUM(463641/1000000)","=SUM(334431/1000000)"
BatchQueryBenchmark_queries100_batchsize20.csv,"=SUM(1921725/1000000)",400,20,"=SUM(365698/1000000)","=SUM(449541/1000000)","=SUM(685736/1000000)","=SUM(420749/1000000)"
BatchQueryBenchmark_queries100_batchsize5.csv,"=SUM(3118917/1000000)",400,5,"=SUM(683809/1000000)","=SUM(794985/1000000)","=SUM(889359/1000000)","=SUM(750762/1000000)"
