Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,2100625,400,20,688373,511183,502096,398973
BatchQueryBenchmark,2098311,400,20,330215,586935,730832,450329
BatchQueryBenchmark,1847524,400,20,515041,429440,512736,390307
BatchQueryBenchmark,1659753,400,20,319585,427286,529036,383846
BatchQueryBenchmark,1646500,400,20,313986,416476,527774,388264
BatchQueryBenchmark,1656258,400,20,318404,430021,511303,396530
BatchQueryBenchmark,1651307,400,20,309938,434159,509940,397270
BatchQueryBenchmark,1641931,400,20,307934,431154,514990,387853
BatchQueryBenchmark,1626941,400,20,312682,432405,507687,374167
BatchQueryBenchmark,1642572,400,20,333251,428208,512816,368297
BatchQueryBenchmark,2046054,400,20,562559,561657,527123,394715
BatchQueryBenchmark,1694709,400,20,336667,449769,526852,381421
BatchQueryBenchmark,1700721,400,20,355894,437095,523796,383936
BatchQueryBenchmark,1683228,400,20,331438,431585,522253,397952
BatchQueryBenchmark,1635789,400,20,334944,428469,505071,367305
BatchQueryBenchmark,2216431,400,20,535057,614445,704193,362736
BatchQueryBenchmark,1642903,400,20,322481,428880,513377,378165
BatchQueryBenchmark,1629097,400,20,322892,425243,507125,373837
BatchQueryBenchmark,1629528,400,20,331158,423389,504180,370801
BatchQueryBenchmark,1634636,400,20,330005,419882,513127,371622
BatchQueryBenchmark,1634507,400,20,336838,420744,503408,373517
BatchQueryBenchmark,1648012,400,20,342278,425303,511784,368647
BatchQueryBenchmark,1652040,400,20,337500,429049,510292,375199
BatchQueryBenchmark,1631100,400,20,332620,418570,490254,389656
BatchQueryBenchmark,1636842,400,20,332470,426856,490294,387222
BatchQueryBenchmark,1609559,400,20,331267,415034,474484,388774
BatchQueryBenchmark,1678658,400,20,332950,421966,476619,447123
BatchQueryBenchmark,1985621,400,20,579891,486266,527263,392201
BatchQueryBenchmark,1660224,400,20,353358,429461,481337,396068
BatchQueryBenchmark,1623336,400,20,329594,419382,480867,393493
BatchQueryBenchmark,1652741,400,20,364880,416005,481648,390208
BatchQueryBenchmark,1604341,400,20,330446,415795,474084,384016
BatchQueryBenchmark,2030365,400,20,543924,555255,522234,408952
BatchQueryBenchmark,1618116,400,20,331057,417488,475927,393644
BatchQueryBenchmark,1659203,400,20,335986,445050,489973,388194
BatchQueryBenchmark,1638974,400,20,336006,429240,482639,391089
BatchQueryBenchmark,1609870,400,20,327821,423469,475647,382933
BatchQueryBenchmark,1610292,400,20,327591,410335,487088,385278
BatchQueryBenchmark,1667067,400,20,335395,423359,511494,396819
BatchQueryBenchmark,1631892,400,20,336347,424692,491206,379647
BatchQueryBenchmark,1634768,400,20,340966,416617,500042,377143
BatchQueryBenchmark,1619008,400,20,325106,422147,477700,394055
BatchQueryBenchmark,1651880,400,20,330817,455168,471860,394035
BatchQueryBenchmark,1593881,400,20,326168,414132,476098,377483
BatchQueryBenchmark,2096819,400,20,328823,408963,799831,559202
BatchQueryBenchmark,1642743,400,20,335856,427918,489613,389356
BatchQueryBenchmark,1609641,400,20,331298,420644,476679,381020
BatchQueryBenchmark,1620401,400,20,324606,423279,486647,385869
BatchQueryBenchmark,1608038,400,20,320558,419271,488411,379798
BatchQueryBenchmark,1884312,400,20,492758,482931,522303,386320
BatchQueryBenchmark,1638214,400,20,310930,424712,520971,381601
BatchQueryBenchmark,1630359,400,20,313714,418030,514579,384036
BatchQueryBenchmark,1983898,400,20,309307,416586,708000,550005
BatchQueryBenchmark,1610853,400,20,310438,422047,504891,373477
BatchQueryBenchmark,1598880,400,20,308896,410685,509861,369438
BatchQueryBenchmark,1698065,400,20,367525,441162,518186,371192
BatchQueryBenchmark,1671174,400,20,386219,417728,509380,357847
BatchQueryBenchmark,1603578,400,20,327771,408662,500462,366683
BatchQueryBenchmark,1602746,400,20,327400,421485,490704,363157
BatchQueryBenchmark,1591065,400,20,321640,415584,490794,363047
BatchQueryBenchmark,1609260,400,20,321649,419723,501715,366173
BatchQueryBenchmark,1640888,400,20,330295,421967,524047,364579
BatchQueryBenchmark,1622083,400,20,333502,418300,509950,360331
BatchQueryBenchmark,1618187,400,20,330406,416086,502046,369649
BatchQueryBenchmark,1627613,400,20,330676,423449,505823,367665
BatchQueryBenchmark,2255645,400,20,877746,475747,537182,364970
BatchQueryBenchmark,1649585,400,20,343610,420995,518016,366964
BatchQueryBenchmark,1640247,400,20,342498,417378,513447,366924
BatchQueryBenchmark,1689149,400,20,344211,417659,547621,379658
BatchQueryBenchmark,1929026,400,20,570353,466369,501405,390899
BatchQueryBenchmark,1625981,400,20,325106,424511,487239,389125
BatchQueryBenchmark,1652920,400,20,326298,436293,483531,406798
BatchQueryBenchmark,1656167,400,20,329464,424091,500823,401789
BatchQueryBenchmark,3151695,400,20,341266,423490,514479,1872460
BatchQueryBenchmark,1772504,400,20,367004,454177,519398,431925
BatchQueryBenchmark,1718102,400,20,347899,460819,497827,411557
BatchQueryBenchmark,1858594,400,20,354110,476638,593908,433938
BatchQueryBenchmark,1677527,400,20,340314,438207,495223,403783
BatchQueryBenchmark,1690721,400,20,337469,437365,513888,401999
BatchQueryBenchmark,2196183,400,20,343239,429531,781387,642026
BatchQueryBenchmark,2250786,400,20,425333,631798,637598,556057
BatchQueryBenchmark,1851872,400,20,417679,534947,500924,398322
BatchQueryBenchmark,1752897,400,20,338952,511082,505352,397511
BatchQueryBenchmark,1681234,400,20,353940,427828,504570,394896
BatchQueryBenchmark,1648353,400,20,340405,419101,498028,390819
BatchQueryBenchmark,1687266,400,20,351275,439299,490154,406538
BatchQueryBenchmark,1654434,400,20,338411,429200,488701,398122
BatchQueryBenchmark,1657900,400,20,337619,427988,498419,393874
BatchQueryBenchmark,1658191,400,20,340164,426155,499361,392511
BatchQueryBenchmark,1643844,400,20,336447,418830,499391,389176
BatchQueryBenchmark,1651027,400,20,339683,417719,489201,404424
BatchQueryBenchmark,1642031,400,20,330236,427336,485425,399034
BatchQueryBenchmark,1623126,400,20,331868,420965,477891,392402
BatchQueryBenchmark,1638845,400,20,333642,424461,495995,384747
BatchQueryBenchmark,1641159,400,20,332990,419823,494512,393834
BatchQueryBenchmark,1663350,400,20,312873,450840,508338,391299
BatchQueryBenchmark,18031501,400,20,311531,427366,16155324,1137280
BatchQueryBenchmark,3622332,400,20,716034,985267,1207641,713390
BatchQueryBenchmark,3027102,400,20,665611,872356,1080944,408191
BatchQueryBenchmark,1705279,400,20,346526,450220,505021,403512
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
