Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,35678103,4000,5,7123643,7588117,12252148,8714195
BatchQueryBenchmark,36277089,4000,5,9639189,9264271,9776404,7597225
BatchQueryBenchmark,31765594,4000,5,7472914,7763534,8945156,7583990
BatchQueryBenchmark,32446582,4000,5,7119104,7783822,9915594,7628062
BatchQueryBenchmark,30722340,4000,5,6878746,7601673,8759179,7482742
BatchQueryBenchmark,34223490,4000,5,7228276,7582477,8505737,10907000
BatchQueryBenchmark,34090523,4000,5,7609567,9458041,9104933,7917982
BatchQueryBenchmark,36874630,4000,5,8026514,10009358,9747540,9091218
BatchQueryBenchmark,30979627,4000,5,7030528,7796736,8803532,7348831
BatchQueryBenchmark,30576955,4000,5,6964124,7601152,8737688,7273991
BatchQueryBenchmark,30590712,4000,5,7032512,8041171,8378931,7138098
BatchQueryBenchmark,46022582,4000,5,7169857,7520942,8450594,22881189
BatchQueryBenchmark,36273328,4000,5,10467581,8761793,9053838,7990116
BatchQueryBenchmark,33560465,4000,5,8296136,7880001,9309164,8075164
BatchQueryBenchmark,31543737,4000,5,7561257,7736293,8880835,7365352
BatchQueryBenchmark,32248310,4000,5,7046748,8263385,8953952,7984225
BatchQueryBenchmark,30391241,4000,5,7161312,7557049,8534240,7138640
BatchQueryBenchmark,31359233,4000,5,6876081,7589780,9110653,7782719
BatchQueryBenchmark,30867528,4000,5,6900045,7565815,8669783,7731885
BatchQueryBenchmark,31187725,4000,5,7024798,8010294,8943362,7209271
BatchQueryBenchmark,35535535,4000,5,6946122,8480429,12087951,8021033
BatchQueryBenchmark,32292433,4000,5,7363489,8049266,9329351,7550327
BatchQueryBenchmark,33570062,4000,5,7234608,8994107,9166748,8174599
BatchQueryBenchmark,35595306,4000,5,10175277,8232678,9435809,7751542
BatchQueryBenchmark,34343964,4000,5,10334072,7620768,8984219,7404905
BatchQueryBenchmark,33252572,4000,5,8154894,7674848,10078046,7344784
BatchQueryBenchmark,54001699,4000,5,29545485,8272643,8872249,7311322
BatchQueryBenchmark,36345784,4000,5,8024811,10868128,9179472,8273373
BatchQueryBenchmark,41953783,4000,5,11003070,8741676,14215254,7993783
BatchQueryBenchmark,31925117,4000,5,7833023,7849083,8853484,7389527
BatchQueryBenchmark,31697906,4000,5,6933287,8300835,9183310,7280474
BatchQueryBenchmark,33824116,4000,5,7316992,8554357,9508575,8444192
BatchQueryBenchmark,31949223,4000,5,7551458,7517516,9716783,7163466
BatchQueryBenchmark,30558169,4000,5,7429260,7519359,8406962,7202588
BatchQueryBenchmark,30724209,4000,5,7321470,7664119,8578000,7160620
BatchQueryBenchmark,29770252,4000,5,6744585,7457113,8434563,7133991
BatchQueryBenchmark,29870378,4000,5,6718927,7507236,8522097,7122118
BatchQueryBenchmark,29614261,4000,5,6704671,7496265,8325581,7087744
BatchQueryBenchmark,30124652,4000,5,6693810,7985517,8314931,7130394
BatchQueryBenchmark,29919961,4000,5,6700684,7559794,8507579,7151904
BatchQueryBenchmark,46746568,4000,5,6740027,7520891,25178477,7307173
BatchQueryBenchmark,31787780,4000,5,7268311,8027906,9081058,7410505
BatchQueryBenchmark,31041300,4000,5,7425073,7637298,8433482,7545447
BatchQueryBenchmark,34220773,4000,5,7160811,10268800,9274198,7516964
BatchQueryBenchmark,32845300,4000,5,7305069,7879539,9417034,8243658
BatchQueryBenchmark,34370902,4000,5,8143020,8579935,9524774,8123173
BatchQueryBenchmark,32344017,4000,5,8303319,7985768,8862200,7192730
BatchQueryBenchmark,32181423,4000,5,6879256,8229531,9146149,7926487
BatchQueryBenchmark,63923599,4000,5,7591673,7706848,40635023,7990055
BatchQueryBenchmark,36114891,4000,5,7875251,8837845,10446291,8955504
BatchQueryBenchmark,31089499,4000,5,7211254,7826691,8733190,7318364
BatchQueryBenchmark,30884347,4000,5,7307714,7655492,8632983,7288158
BatchQueryBenchmark,30456049,4000,5,7093384,7616320,8551761,7194584
BatchQueryBenchmark,32383220,4000,5,7427959,7702730,9514054,7738477
BatchQueryBenchmark,32708967,4000,5,7819017,8019811,9530776,7339363
BatchQueryBenchmark,32661638,4000,5,7841919,7789221,9564068,7466430
BatchQueryBenchmark,33137033,4000,5,7365181,8508080,9414118,7849654
BatchQueryBenchmark,39078734,4000,5,7630516,11548465,11305372,8594381
BatchQueryBenchmark,35595714,4000,5,8763446,9155085,9377991,8299192
BatchQueryBenchmark,35335376,4000,5,8135255,8646908,9492153,9061060
BatchQueryBenchmark,40051806,4000,5,8261231,8159992,9975955,13654628
BatchQueryBenchmark,33382408,4000,5,7904036,7975978,9776161,7726233
BatchQueryBenchmark,37867253,4000,5,8503672,7948266,9248800,12166515
BatchQueryBenchmark,31788629,4000,5,7895999,7889838,8801507,7201285
BatchQueryBenchmark,31502767,4000,5,6954746,8077698,9294945,7175378
BatchQueryBenchmark,31672052,4000,5,7455859,7704353,8785166,7726674
BatchQueryBenchmark,30592641,4000,5,7171550,7592384,8630267,7198440
BatchQueryBenchmark,31091741,4000,5,7323473,7863408,8788753,7116107
BatchQueryBenchmark,31603164,4000,5,7771117,7736642,8849146,7246259
BatchQueryBenchmark,36321103,4000,5,9579255,9761274,9312579,7667995
