Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,32281117,4000,5,7366263,8112032,9377699,7425123
BatchQueryBenchmark,30947642,4000,5,7100367,7793950,8719223,7334102
BatchQueryBenchmark,32353612,4000,5,8187662,8346920,8625739,7193291
BatchQueryBenchmark,31476347,4000,5,7123580,7873177,9269819,7209771
BatchQueryBenchmark,31431745,4000,5,7181228,7528806,8894339,7827372
BatchQueryBenchmark,32420907,4000,5,7118181,7854983,9592169,7855574
BatchQueryBenchmark,32289553,4000,5,7747012,7905618,8660433,7976490
BatchQueryBenchmark,55991647,4000,5,10718257,8521866,27983520,8768004
BatchQueryBenchmark,36148912,4000,5,8820592,7932378,10441151,8954791
BatchQueryBenchmark,33174190,4000,5,7150079,7742023,10092602,8189486
BatchQueryBenchmark,33717012,4000,5,9037426,7636827,9124508,7918251
BatchQueryBenchmark,35410596,4000,5,10504980,8489705,8852401,7563510
BatchQueryBenchmark,39469388,4000,5,7620927,9016597,9457699,13374165
BatchQueryBenchmark,34672462,4000,5,7580953,7791655,10519436,8780418
BatchQueryBenchmark,32906641,4000,5,7945311,7735440,9422092,7803798
BatchQueryBenchmark,40604873,4000,5,8770819,9114690,13558799,9160565
BatchQueryBenchmark,36813339,4000,5,8258875,8735854,10712967,9105643
BatchQueryBenchmark,34013694,4000,5,8169609,7876874,9468699,8498512
BatchQueryBenchmark,35042121,4000,5,8714765,8198363,10016951,8112042
BatchQueryBenchmark,32379760,4000,5,7777920,8386493,8787360,7427987
BatchQueryBenchmark,39273198,4000,5,7826399,8553493,9814593,13078713
BatchQueryBenchmark,34802071,4000,5,8352500,8677504,9547516,8224551
BatchQueryBenchmark,33564584,4000,5,7137947,8268012,9905632,8252993
BatchQueryBenchmark,34056121,4000,5,7931996,7829856,10300868,7993401
BatchQueryBenchmark,36745210,4000,5,7761488,8309580,11178914,9495228
BatchQueryBenchmark,35663806,4000,5,7904044,9157900,10675527,7926335
BatchQueryBenchmark,35043641,4000,5,8612684,8144221,10223375,8063361
BatchQueryBenchmark,31789379,4000,5,7825989,7920915,8583851,7458624
BatchQueryBenchmark,37392035,4000,5,8795645,9604351,9220777,9771262
BatchQueryBenchmark,38641723,4000,5,9420559,9743040,10265262,9212862
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
