Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,22743097,4000,20,5653161,5578953,7164005,4346978
BatchQueryBenchmark,18352127,4000,20,4115797,4550977,5560278,4125075
BatchQueryBenchmark,18960460,4000,20,4002586,4809469,5947199,4201206
BatchQueryBenchmark,18482690,4000,20,4010411,4574892,5783273,4114114
BatchQueryBenchmark,17985163,4000,20,3857055,4333002,5565257,4229849
BatchQueryBenchmark,18237193,4000,20,4034866,4459247,5612665,4130415
BatchQueryBenchmark,18710605,4000,20,4112071,4380670,5706701,4511163
BatchQueryBenchmark,27941551,4000,20,5808511,4738326,5864064,11530650
BatchQueryBenchmark,19331401,4000,20,4102011,5164491,5666546,4398353
BatchQueryBenchmark,22917080,4000,20,3929870,4853882,8141796,5991532
BatchQueryBenchmark,22053221,4000,20,4361765,5247926,7991658,4451872
BatchQueryBenchmark,20043938,4000,20,4589148,4773161,5776010,4905619
BatchQueryBenchmark,19320310,4000,20,3734366,4891412,5722590,4971942
BatchQueryBenchmark,20921513,4000,20,4023996,4508348,7773691,4615478
BatchQueryBenchmark,28326497,4000,20,7428648,7487277,7137536,6273036
BatchQueryBenchmark,22632240,4000,20,4223909,4543684,6999388,6865259
BatchQueryBenchmark,24768439,4000,20,5993755,8672786,5974810,4127088
BatchQueryBenchmark,19527998,4000,20,3775573,5020563,5808821,4923041
BatchQueryBenchmark,18265756,4000,20,3738173,4648981,5550480,4328122
BatchQueryBenchmark,19035870,4000,20,3563909,4404995,5853214,5213752
BatchQueryBenchmark,21527543,4000,20,3632296,5383489,8225092,4286666
BatchQueryBenchmark,20133686,4000,20,4564133,4627419,5430787,5511347
BatchQueryBenchmark,18755609,4000,20,3840935,4721155,5637491,4556028
BatchQueryBenchmark,18148287,4000,20,3819254,4470949,5382988,4475096
BatchQueryBenchmark,17861653,4000,20,4244116,4337851,5296706,3982980
BatchQueryBenchmark,17083162,4000,20,3473330,4320239,5299541,3990052
BatchQueryBenchmark,17442032,4000,20,3805339,4319827,5356999,3959867
BatchQueryBenchmark,17302120,4000,20,3678572,4339734,5342903,3940911
BatchQueryBenchmark,18039665,4000,20,3391608,4945593,5767504,3934960
BatchQueryBenchmark,16649363,4000,20,3386308,4235830,5114847,3912378
BatchQueryBenchmark,17277173,4000,20,3653075,4248033,5523038,3853027
BatchQueryBenchmark,38101964,4000,20,3852065,4197539,25992657,4059703
BatchQueryBenchmark,16962888,4000,20,3503016,4285562,5269987,3904323
BatchQueryBenchmark,17971637,4000,20,3750527,4532883,5468787,4219440
BatchQueryBenchmark,17932284,4000,20,3782156,4523606,5730274,3896248
BatchQueryBenchmark,16824841,4000,20,3325555,4189845,5379811,3929630
BatchQueryBenchmark,16708975,4000,20,3319483,4214060,5284143,3891289
BatchQueryBenchmark,16885043,4000,20,3327869,4206866,5157527,4192781
BatchQueryBenchmark,16442529,4000,20,3320516,4192209,5114517,3815287
BatchQueryBenchmark,17447090,4000,20,3715712,4187340,5603558,3940480
BatchQueryBenchmark,16763626,4000,20,3334030,4226043,5159631,4043922
BatchQueryBenchmark,16739081,4000,20,3357184,4246360,5208743,3926794
BatchQueryBenchmark,16671535,4000,20,3368484,4250749,5130276,3922026
BatchQueryBenchmark,16717491,4000,20,3380788,4254595,5145996,3936112
BatchQueryBenchmark,17036505,4000,20,3739165,4232785,5161114,3903441
BatchQueryBenchmark,17134678,4000,20,3798476,4247833,5185268,3903101
BatchQueryBenchmark,21232932,4000,20,3411755,6361711,6921753,4537713
BatchQueryBenchmark,18587965,4000,20,3934479,4888607,5486760,4278119
BatchQueryBenchmark,18944188,4000,20,4980176,4506515,5430756,4026741
BatchQueryBenchmark,19204262,4000,20,4099707,4343090,5943761,4817704
BatchQueryBenchmark,18567337,4000,20,4179436,4382744,5850027,4155130
BatchQueryBenchmark,18419221,4000,20,3691236,4414223,5528057,4785705
BatchQueryBenchmark,18914002,4000,20,3566794,4842811,6285168,4219229
BatchQueryBenchmark,18285522,4000,20,3963944,4385289,5675211,4261078
BatchQueryBenchmark,21816890,4000,20,4708040,5616642,7281544,4210664
BatchQueryBenchmark,22437195,4000,20,3822701,4884378,7571885,6158231
BatchQueryBenchmark,45239901,4000,20,4893024,5966825,29577275,4802777
BatchQueryBenchmark,18623161,4000,20,3922377,4612181,5698856,4389747
BatchQueryBenchmark,19444160,4000,20,4253052,5043896,5972275,4174937
BatchQueryBenchmark,17559359,4000,20,3578346,4496656,5422100,4062257
BatchQueryBenchmark,17697245,4000,20,3566243,4460138,5472454,4198410
BatchQueryBenchmark,17611576,4000,20,3672341,4409323,5492612,4037300
BatchQueryBenchmark,18536018,4000,20,3907448,4387393,5336090,4905087
BatchQueryBenchmark,20262534,4000,20,4150912,4962925,6708236,4440461
BatchQueryBenchmark,19627773,4000,20,4004149,5411791,6037296,4174537
BatchQueryBenchmark,25205882,4000,20,5495406,6817680,8317483,4575313
BatchQueryBenchmark,18213858,4000,20,3503386,4642057,6074185,3994230
BatchQueryBenchmark,17346151,4000,20,4002265,4254334,5240973,3848579
BatchQueryBenchmark,20843997,4000,20,3328470,5209153,7503367,4803007
BatchQueryBenchmark,23205456,4000,20,5446976,6721902,6444935,4591643
BatchQueryBenchmark,20345058,4000,20,4290111,4528486,6278125,5248336
BatchQueryBenchmark,18420813,4000,20,3813383,4812414,5622794,4172222
BatchQueryBenchmark,18673924,4000,20,3940471,4485135,5870294,4378024
BatchQueryBenchmark,18553020,4000,20,3605867,5141808,5592808,4212537
BatchQueryBenchmark,17949335,4000,20,3713968,4499271,5268965,4467131
BatchQueryBenchmark,18020959,4000,20,4406359,4384196,5227077,4003327
BatchQueryBenchmark,17531667,4000,20,3498337,4292306,5609378,4131646
BatchQueryBenchmark,16896933,4000,20,3490141,4278379,5212279,3916134
BatchQueryBenchmark,17441288,4000,20,3342967,4220382,5193874,4684065
BatchQueryBenchmark,17299563,4000,20,3466687,4277518,5643862,3911496
BatchQueryBenchmark,18206243,4000,20,4343701,4286364,5675742,3900436
BatchQueryBenchmark,35884702,4000,20,3469252,4270285,24115559,4029606
BatchQueryBenchmark,17274567,4000,20,3544712,4255938,5245731,4228186
BatchQueryBenchmark,21496020,4000,20,7477198,4337850,5735603,3945369
BatchQueryBenchmark,17518450,4000,20,3647604,4526752,5415036,3929058
BatchQueryBenchmark,18512212,4000,20,3400854,4992850,6065559,4052949
BatchQueryBenchmark,19156571,4000,20,3528071,4339853,7157392,4131255
BatchQueryBenchmark,18073775,4000,20,4192910,4393173,5423532,4064160
BatchQueryBenchmark,18604493,4000,20,3866392,4293928,6115130,4329043
BatchQueryBenchmark,17517850,4000,20,3438475,4309337,5561028,4209010
BatchQueryBenchmark,21749452,4000,20,3782505,6831816,6450505,4684626
BatchQueryBenchmark,18057426,4000,20,3790671,4499702,5546822,4220231
BatchQueryBenchmark,20898367,4000,20,4058499,4574050,6845992,5419826
BatchQueryBenchmark,19093004,4000,20,3747080,5224972,5965863,4155089
BatchQueryBenchmark,22336035,4000,20,3915864,5862960,8146525,4410686
BatchQueryBenchmark,18763811,4000,20,3820296,4602233,6267554,4073728
BatchQueryBenchmark,22710381,4000,20,3845844,5029518,9743168,4091851
BatchQueryBenchmark,17508883,4000,20,3703418,4308986,5425957,4070522
BatchQueryBenchmark,17439463,4000,20,3442943,4296713,5692403,4007404
BatchQueryBenchmark,17535924,4000,20,3683542,4344672,5458508,4049202
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
