Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,3131107,400,100,1758768,450230,513968,408141
BatchQueryBenchmark,2106547,400,100,358228,629313,698452,420554
BatchQueryBenchmark,1914799,400,100,365211,483060,572377,494151
BatchQueryBenchmark,1908668,400,100,397330,475897,573660,461781
BatchQueryBenchmark,1881959,400,100,399335,470417,563600,448607
BatchQueryBenchmark,1695028,400,100,384907,467131,507746,335244
BatchQueryBenchmark,1362630,400,100,272578,345865,418821,325366
BatchQueryBenchmark,1378088,400,100,277196,338812,435542,326538
BatchQueryBenchmark,1341020,400,100,282146,329775,404283,324816
BatchQueryBenchmark,1364123,400,100,264733,327421,419692,352277
BatchQueryBenchmark,1602406,400,100,328141,381330,505232,387703
BatchQueryBenchmark,1551241,400,100,287325,387503,469034,407379
BatchQueryBenchmark,1317356,400,100,266617,324034,421406,305299
BatchQueryBenchmark,1340037,400,100,271486,332129,410425,325997
BatchQueryBenchmark,1312987,400,100,267308,324895,406388,314396
BatchQueryBenchmark,1311485,400,100,272278,316269,397110,325828
BatchQueryBenchmark,1327524,400,100,259333,324114,438367,305710
BatchQueryBenchmark,1366217,400,100,269843,345264,422658,328452
BatchQueryBenchmark,1299672,400,100,259443,331037,411206,297986
BatchQueryBenchmark,1330079,400,100,270404,327450,405195,327030
BatchQueryBenchmark,1316384,400,100,258231,322451,423610,312092
BatchQueryBenchmark,1351289,400,100,269963,325657,429351,326318
BatchQueryBenchmark,1309782,400,100,266808,326258,409563,307153
BatchQueryBenchmark,1307908,400,100,269121,324004,396359,318424
BatchQueryBenchmark,1284214,400,100,233165,319716,425874,305459
BatchQueryBenchmark,1291798,400,100,231422,325717,423299,311360
BatchQueryBenchmark,1329498,400,100,236080,330105,440181,323132
BatchQueryBenchmark,1302569,400,100,232764,330747,430152,308906
BatchQueryBenchmark,1295795,400,100,232433,323443,436374,303545
BatchQueryBenchmark,1268825,400,100,234216,336107,426265,272237
BatchQueryBenchmark,1273684,400,100,267819,314847,417348,273670
BatchQueryBenchmark,1295886,400,100,262970,325748,423659,283509
BatchQueryBenchmark,1284835,400,100,263311,320768,416266,284490
