Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,14121823,4000,100,3136251,3436861,4446092,3102619
BatchQueryBenchmark,13676195,4000,100,2725938,3362333,4409654,3178270
BatchQueryBenchmark,15548843,4000,100,3481295,4149168,4796805,3121575
BatchQueryBenchmark,15825608,4000,100,2639947,3560983,5729663,3895015
BatchQueryBenchmark,14770102,4000,100,3295449,3589826,4623693,3261134
BatchQueryBenchmark,14327297,4000,100,2921602,3492125,4631757,3281813
BatchQueryBenchmark,56788569,4000,100,3253290,3458291,4639182,45437806
BatchQueryBenchmark,15015900,4000,100,3296750,3783428,4774163,3161559
BatchQueryBenchmark,13795687,4000,100,3067945,3358896,4309327,3059519
BatchQueryBenchmark,13777273,4000,100,2687677,3328650,4273951,3486995
BatchQueryBenchmark,16463897,4000,100,4619635,3697648,4729248,3417366
BatchQueryBenchmark,15997799,4000,100,2897727,3760946,6059016,3280110
BatchQueryBenchmark,14071270,4000,100,2808421,3498647,4536610,3227592
BatchQueryBenchmark,17365426,4000,100,2851000,3464103,5331010,5719313
BatchQueryBenchmark,14536227,4000,100,3256156,3543190,4475967,3260914
BatchQueryBenchmark,14234695,4000,100,3209498,3448213,4432617,3144367
BatchQueryBenchmark,14039500,4000,100,3111756,3455226,4356194,3116324
BatchQueryBenchmark,14212994,4000,100,2751295,3455075,4856667,3149957
BatchQueryBenchmark,13765271,4000,100,2766123,3431932,4440592,3126624
BatchQueryBenchmark,14014525,4000,100,3141882,3387169,4394045,3091429
BatchQueryBenchmark,16066066,4000,100,3133667,3374716,6316145,3241538
BatchQueryBenchmark,14001050,4000,100,2886036,3505730,4441333,3167951
BatchQueryBenchmark,14905433,4000,100,2933113,3733474,4812955,3425891
BatchQueryBenchmark,14067634,4000,100,2868483,3484080,4454918,3260153
BatchQueryBenchmark,14330393,4000,100,3179202,3464403,4507717,3179071
BatchQueryBenchmark,14943164,4000,100,3203968,3477998,5026092,3235106
BatchQueryBenchmark,14299616,4000,100,2964693,3600997,4470177,3263749
BatchQueryBenchmark,14441078,4000,100,2829760,3403249,4486246,3721823
BatchQueryBenchmark,14643717,4000,100,3132145,3427604,4483542,3600426
BatchQueryBenchmark,13737538,4000,100,2803823,3492024,4336357,3105334
BatchQueryBenchmark,13799333,4000,100,2769859,3472378,4365231,3191865
BatchQueryBenchmark,15748353,4000,100,3227582,4356514,4881122,3283135
BatchQueryBenchmark,14267724,4000,100,2848705,3686487,4487338,3245194
BatchQueryBenchmark,14418055,4000,100,2789336,3847486,4532512,3248721
BatchQueryBenchmark,14908990,4000,100,2949164,3588293,5068280,3303253
BatchQueryBenchmark,35205463,4000,100,3225277,3424719,23133638,5421829
BatchQueryBenchmark,13921781,4000,100,2807560,3444445,4470948,3198828
BatchQueryBenchmark,13600302,4000,100,3000860,3302682,4277657,3019103
BatchQueryBenchmark,13669401,4000,100,2669292,3425530,4347448,3227131
BatchQueryBenchmark,13570366,4000,100,2713684,3420111,4316169,3120402
BatchQueryBenchmark,16756300,4000,100,3330684,3360960,4906369,5158287
BatchQueryBenchmark,15743384,4000,100,3331666,3752048,4508157,4151513
BatchQueryBenchmark,15407718,4000,100,2974300,4010710,5192892,3229816
BatchQueryBenchmark,13829208,4000,100,2704417,3420180,4498830,3205781
BatchQueryBenchmark,13795034,4000,100,2713183,3442723,4503067,3136061
BatchQueryBenchmark,13714795,4000,100,2779016,3463261,4338521,3133997
BatchQueryBenchmark,16714633,4000,100,2808721,3545765,5522085,4838062
BatchQueryBenchmark,17492522,4000,100,4043471,5988464,4366634,3093953
BatchQueryBenchmark,15513075,4000,100,3020847,3389172,6050219,3052837
BatchQueryBenchmark,13927431,4000,100,3058336,3389684,4294419,3184992
BatchQueryBenchmark,15744975,4000,100,2624388,3397427,4973163,4749997
BatchQueryBenchmark,16653239,4000,100,3314223,4605148,5250450,3483418
BatchQueryBenchmark,14509394,4000,100,2791389,3502483,4510791,3704731
BatchQueryBenchmark,15223204,4000,100,3094904,4472800,4446162,3209338
BatchQueryBenchmark,15569169,4000,100,2881637,3553108,5097415,4037009
BatchQueryBenchmark,13729343,4000,100,2856821,3424939,4310099,3137484
BatchQueryBenchmark,14338547,4000,100,2748330,3920552,4360151,3309514
BatchQueryBenchmark,13740824,4000,100,2746145,3448783,4404464,3141432
BatchQueryBenchmark,13675101,4000,100,2802079,3411865,4314526,3146631
BatchQueryBenchmark,13680511,4000,100,2739262,3423436,4366283,3151530
BatchQueryBenchmark,14124719,4000,100,3038570,3482156,4469936,3134057
BatchQueryBenchmark,13922723,4000,100,2755633,3475684,4417798,3273608
BatchQueryBenchmark,17449922,4000,100,2740614,3407086,6925600,4376622
BatchQueryBenchmark,14756706,4000,100,3380256,3774731,4387602,3214117
BatchQueryBenchmark,37209205,4000,100,2786550,3963402,4517755,25941498
BatchQueryBenchmark,14960175,4000,100,2916542,3625483,4744577,3673573
BatchQueryBenchmark,16339134,4000,100,3447071,5220694,4555916,3115453
BatchQueryBenchmark,14746968,4000,100,2778235,3778307,4825228,3365198
BatchQueryBenchmark,15136983,4000,100,2763667,4639170,4356275,3377871
BatchQueryBenchmark,14559518,4000,100,3363404,3475394,4299698,3421022
BatchQueryBenchmark,14888272,4000,100,3007903,4175818,4482599,3221952
BatchQueryBenchmark,16611411,4000,100,3346293,3976016,4604797,4684305
BatchQueryBenchmark,15164295,4000,100,2958621,4075611,4419522,3710541
BatchQueryBenchmark,14840432,4000,100,2769378,3986265,4567638,3517151
BatchQueryBenchmark,14659806,4000,100,3216201,3754834,4460037,3228734
BatchQueryBenchmark,14466956,4000,100,3329471,3469623,4550646,3117216
BatchQueryBenchmark,14380996,4000,100,3128477,3459453,4691699,3101367
BatchQueryBenchmark,14570568,4000,100,3465996,3467889,4477319,3159364
BatchQueryBenchmark,13747457,4000,100,2843978,3425380,4318413,3159686
BatchQueryBenchmark,14867552,4000,100,2629177,3424639,4720963,4092773
BatchQueryBenchmark,15831908,4000,100,2715667,3449947,6302819,3363475
BatchQueryBenchmark,14842294,4000,100,3266594,3726121,4572987,3276592
BatchQueryBenchmark,14796160,4000,100,3290900,3612699,4428849,3463712
BatchQueryBenchmark,14273145,4000,100,2826694,3570851,4575784,3299816
BatchQueryBenchmark,14314452,4000,100,2872320,3584436,4545837,3311859
BatchQueryBenchmark,14287072,4000,100,2873252,3574067,4563049,3276704
BatchQueryBenchmark,14152380,4000,100,2869544,3540956,4536059,3205821
BatchQueryBenchmark,18078103,4000,100,2879063,4864631,5892576,4441833
BatchQueryBenchmark,13941627,4000,100,3171757,3420612,4250717,3098541
BatchQueryBenchmark,15072805,4000,100,2780620,3763359,5118303,3410523
BatchQueryBenchmark,15394252,4000,100,3559961,3816989,4728457,3288845
BatchQueryBenchmark,14323416,4000,100,2815113,3612217,4637307,3258779
BatchQueryBenchmark,14484157,4000,100,2817467,3908670,4551037,3206983
BatchQueryBenchmark,14403196,4000,100,3164314,3526869,4483260,3228753
BatchQueryBenchmark,16133608,4000,100,3831506,3526668,5334155,3441279
BatchQueryBenchmark,24921477,4000,100,2932532,4370621,5185558,12432766
BatchQueryBenchmark,15279078,4000,100,2866369,3823952,5118163,3470594
BatchQueryBenchmark,14877460,4000,100,3273818,3791271,4541369,3271002
BatchQueryBenchmark,17598107,4000,100,4125113,4733647,5112582,3626765
BatchQueryBenchmark,14875887,4000,100,3318591,3657592,4616559,3283145
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
