Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,33358968,400,1,9087641,13773286,6879635,3618406
BatchQueryBenchmark,15301485,400,1,3804783,5077586,3393676,3025440
BatchQueryBenchmark,16455816,400,1,3393676,5005631,4219436,3837073
BatchQueryBenchmark,16617448,400,1,3975882,4661410,4596068,3384088
BatchQueryBenchmark,14900577,400,1,3496047,3919787,3778794,3705949
BatchQueryBenchmark,16099382,400,1,3792380,3436847,5378085,3492070
BatchQueryBenchmark,13554088,400,1,3326822,3437929,3622774,3166563
BatchQueryBenchmark,14663666,400,1,3157626,3856139,4150307,3499594
BatchQueryBenchmark,14504569,400,1,4100434,3480368,3722419,3201348
BatchQueryBenchmark,17631999,400,1,4764983,5951494,3485458,3430064
BatchQueryBenchmark,15008007,400,1,3628083,3877238,3933363,3569323
BatchQueryBenchmark,13711079,400,1,3595402,3269024,3462895,3383758
BatchQueryBenchmark,12667564,400,1,2783859,3611182,3552533,2719990
BatchQueryBenchmark,12155167,400,1,2638157,2957683,3896413,2662914
BatchQueryBenchmark,12365730,400,1,2689032,2999060,2849672,3827966
BatchQueryBenchmark,13686142,400,1,4926273,3073419,2860162,2826288
BatchQueryBenchmark,24739327,400,1,2697749,3206257,15483143,3352178
BatchQueryBenchmark,10958448,400,1,2534986,2788207,3094308,2540947
BatchQueryBenchmark,10183573,400,1,2519958,2622458,2565973,2475184
BatchQueryBenchmark,10058950,400,1,2396768,2624021,2582914,2455247
BatchQueryBenchmark,11081437,400,1,3214933,2771497,2630714,2464293
BatchQueryBenchmark,10291154,400,1,2469874,2739256,2584138,2497886
BatchQueryBenchmark,10279542,400,1,2493438,2745898,2577896,2462310
BatchQueryBenchmark,10166792,400,1,2450067,2712396,2556345,2447984
BatchQueryBenchmark,10169236,400,1,2433817,2715441,2568799,2451179
BatchQueryBenchmark,10703121,400,1,2445418,2693761,3073249,2490693
